run_id,model,workflow,version,replicate,status,primary,R,P,F1,E,B,calls,known_output_tokens,missing_token_calls,unaccounted_infrastructure_attempts,report_path,report_sha256
1a87643398283251__deliberative__astra_medium__r001,astra_medium,deliberative,surprising,r001,completed,1,0.6666666666666666,0.9375,77.92207792207792,64.66666666666667,100.0,302,255400,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__astra_medium__r001/report.json,6e7a5f74e3145f74b91082a32fa4ab686d932aa40fe9640a2298d5a3b155002b
1a87643398283251__deliberative__astra_medium__r002,astra_medium,deliberative,surprising,r002,completed,1,0.6666666666666666,1.0,80.0,64.0,100.0,304,263341,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__astra_medium__r002/report.json,2ae3393e6bcd3727d4a31890c8c3e5e1c38855e86b8e2e06820eb771e5dce1d3
1a87643398283251__deliberative__astra_medium__r003,astra_medium,deliberative,surprising,r003,completed,1,0.6666666666666666,1.0,80.0,62.666666666666664,100.0,303,272796,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__astra_medium__r003/report.json,026cc8f61a9ac6b2a63eb5fd8624d3ef4dce585cc69c2310370bf93f6c38edf0
1a87643398283251__deliberative__astra_medium__r004,astra_medium,deliberative,surprising,r004,completed,1,0.6666666666666666,1.0,80.0,64.66666666666667,100.0,303,267425,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__astra_medium__r004/report.json,cd3a8aa7e42aae0ff12102c72b0bba7a185992a6e34b272960bd3ca9cbdd366d
1a87643398283251__deliberative__astra_medium__r005,astra_medium,deliberative,surprising,r005,completed,1,0.6666666666666666,1.0,80.0,64.0,88.88888888888887,304,259598,0,3,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__astra_medium__r005/report.json,1da82fea99119c3d35bac3ad6b321055e33c24302d92eac507dc4bd648fde760
1a87643398283251__deliberative__astra_medium__r006,astra_medium,deliberative,surprising,r006,completed,1,0.6666666666666666,0.8113207547169812,73.19148936170212,64.66666666666667,100.0,304,268903,0,2,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__astra_medium__r006/report.json,3e36023cc7186f183560cb0558c4107dbd4c9fc39d6f5227d06574b8490263c7
1a87643398283251__deliberative__luna_medium__r001,luna_medium,deliberative,surprising,r001,completed,1,0.3333333333333333,0.9504950495049505,49.35732647814909,33.333333333333336,83.33333333333333,307,219485,8,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__luna_medium__r001/report.json,1879d4b732360d8b01cd20139a8707cb9ecf84918b68fc5af58ba21a3504d1a0
1a87643398283251__deliberative__luna_medium__r002,luna_medium,deliberative,surprising,r002,failed,1,0.3333333333333333,0.6875,44.89795918367347,59.333333333333336,83.33333333333333,308,238601,0,1,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__luna_medium__r002/report.json,b8f83b3c3da00759c334be05fd6ba5b74b661c4cc379db718d10f8c36827e0c4
1a87643398283251__deliberative__luna_medium__r003,luna_medium,deliberative,surprising,r003,completed,1,0.6666666666666666,1.0,80.0,64.66666666666667,,302,228640,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__luna_medium__r003/report.json,10010189575964e20f5eec7fe293d850c4212c1cf578eff233d23baf2811cce0
1a87643398283251__deliberative__luna_medium__r004,luna_medium,deliberative,surprising,r004,completed,0,0.0,0.9104477611940298,0.0,33.333333333333336,77.77777777777779,306,233519,0,0,/data1/ken/onc-co-scientist/data/expected_surprising_ledger/full_runs/20260910_clinical10pct_masked_workflows/runs/1a87643398283251__deliberative__luna_medium__r004/report.json,f5e76072d778f53e9ee9a3265f97369af6e0e0af9d022a4a2e4cf6e6f6fbcb6d
