label,n,masked_primary,unmasked_primary,delta_primary,masked_R,unmasked_R,delta_R,masked_P,unmasked_P,delta_P,masked_F1,unmasked_F1,delta_F1,masked_E,unmasked_E,delta_E,masked_recovered,unmasked_recovered
astra_medium / deliberative,11,1.0,1,0.0,0.6666666666666666,0.6818181818181818,-0.015151515151515138,0.9622178958818055,0.9884525088327774,-0.026234612950971847,78.68786429006452,80.61584293446187,-1.9279786443973421,64.06060606060606,65.85858585858585,-1.7979797979797922,11.0,11
astra_medium / persistent,16,1.0,1,0.0,0.6770833333333333,0.6770833333333333,0.0,0.938662859690488,0.9617296209143199,-0.02306676122383189,78.56779366826889,79.3706397507725,-0.8028460825036063,64.38888888888889,65.48611111111111,-1.0972222222222285,16.0,16
astra_medium / sequential,15,1.0,1,0.0,0.7111111111111111,0.6666666666666666,0.04444444444444451,0.9157541081976385,0.9696101052964685,-0.053855997098830044,79.77055406833642,78.2491056871033,1.521448381233128,65.73333333333333,66.07407407407408,-0.3407407407407419,15.0,15
luna_medium / deliberative,13,0.6923076923076923,0,0.6923076923076923,0.3376068376068376,0.05555555555555555,0.28205128205128205,0.9026648301816006,0.6362169922967827,0.26644783788481785,45.43272182306079,9.037436367995761,36.39528545506503,39.675213675213676,18.376068376068375,21.2991452991453,9.0,0
luna_medium / persistent,12,0.5833333333333334,0.16666666666666666,0.41666666666666674,0.4074074074074074,0.125,0.2824074074074074,0.8652873527664489,0.6394273581931029,0.22585999457334593,51.998920993194325,17.799285856383094,34.19963513681123,43.05555555555556,19.24074074074074,23.814814814814817,7.0,2
luna_medium / sequential,15,0.6666666666666666,0.06666666666666667,0.6,0.4296296296296296,0.059259259259259255,0.37037037037037035,0.8809674797855613,0.6315879211475031,0.24937955863805827,56.00323812483967,8.030438500047673,47.972799624791996,47.05185185185185,28.414814814814815,18.637037037037036,10.0,1
qwen_3_8_27b / persistent,2,1.0,1,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,80.0,80.0,0.0,61.0,64.33333333333334,-3.333333333333343,2.0,2
qwen_3_8_27b / sequential,1,1.0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,49.99999999999999,49.99999999999999,0.0,60.88888888888889,64.0,-3.111111111111107,1.0,1
sol_medium / deliberative,10,1.0,0.6,0.4,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.9431269213728084,0.9233020998653674,0.019824821507441026,78.06256257001091,56.21932936562437,21.843233204386543,61.37777777777778,49.48888888888889,11.888888888888893,10.0,6
sol_medium / persistent,15,1.0,0.9333333333333333,0.06666666666666665,0.6666666666666666,0.611111111111111,0.05555555555555558,0.9450086987680726,0.9327148427246577,0.01229385604341493,78.08001179209096,72.64106925396463,5.4389425381263266,61.762962962962966,62.22222222222222,-0.45925925925925526,15.0,14
sol_medium / sequential,15,1.0,0.8666666666666667,0.1333333333333333,0.6666666666666666,0.6074074074074074,0.059259259259259234,0.9191869385227975,0.9145167641298233,0.004670174392974236,77.18420576020631,71.35932792260049,5.8248778376058254,61.6,62.10370370370371,-0.5037037037037067,15.0,13
terra_medium / deliberative,15,0.9333333333333333,0.5333333333333333,0.4,0.6518518518518518,0.46296296296296297,0.18888888888888883,0.9730793650793651,0.9585100667559439,0.014569298323421243,77.6949242565457,59.5458746557332,18.149049600812504,59.614814814814814,57.68888888888889,1.9259259259259238,14.0,8
terra_medium / persistent,17,0.9411764705882353,0.7647058823529411,0.17647058823529416,0.6372549019607843,0.5359477124183006,0.10130718954248363,0.9798494388077154,0.9736270712364108,0.006222367571304566,76.87737877533488,67.08595574125204,9.79142303408284,64.0,61.869281045751634,2.1307189542483655,16.0,13
terra_medium / sequential,15,1.0,0.8,0.19999999999999996,0.6555555555555556,0.5259259259259259,0.12962962962962965,0.9849551414768806,0.9356432347824372,0.04931190669444341,78.59373610317006,65.31324269533494,13.280493407835124,62.281481481481485,63.17037037037037,-0.8888888888888857,15.0,12
