metric,llm,harness,workflow,reasoning_effort,condition,value,ci95_low,ci95_high,ci_method,ci_status,ci_valid_resamples,runs_planned,runs_attempted,runs_completed,runs_failed,runs_unfinished,runs_queued,reports_included,metric_available_runs,response_supported_available_runs,response_excluded_available_runs,response_ambiguous_available_runs
precision,gpt-6-astra,Codex,persistent,medium,expected-unmasked,97.70092404778003,95.12576064908723,99.65517241379311,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
precision,gpt-6-astra,Codex,persistent,medium,expected-masked,93.07143430654449,89.98777327000974,96.1798577183851,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-6-astra,Codex,persistent,medium,surprising-unmasked,93.5046134844522,89.45582697987652,97.07494484280198,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,9
precision,gpt-6-astra,Codex,persistent,medium,surprising-masked,93.50993136718289,89.70138211414834,97.22818533543685,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-6-astra,Codex,sequential,medium,expected-unmasked,97.5080160371719,95.55889197041482,98.9756364549042,run bootstrap,available,10000,10,10,9,1,0,0,10,10,10,10,8
precision,gpt-6-astra,Codex,sequential,medium,expected-masked,94.75082144151345,92.22017642107288,96.91669327964202,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
precision,gpt-6-astra,Codex,sequential,medium,surprising-unmasked,95.9169541189125,93.47232510451605,98.24197120708749,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,7
precision,gpt-6-astra,Codex,sequential,medium,surprising-masked,88.74751676035784,83.06610601193462,94.11480000226794,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-6-astra,Codex,deliberative,medium,expected-unmasked,99.03565101176586,98.13462342741089,99.82456140350877,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,7
precision,gpt-6-astra,Codex,deliberative,medium,expected-masked,94.78082380420194,91.96088268129473,97.43954702461423,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,10
precision,gpt-6-astra,Codex,deliberative,medium,surprising-unmasked,99.31337783340287,98.61006814073146,100.0,run bootstrap,available,10000,10,10,10,0,0,0,10,10,10,10,8
