llm,harness,cost_basis,workflow,condition,runs_attempted,runs_completed,completed_runs_with_cost,total_known_cost_usd,mean_cost_per_completed_run_usd,median_cost_per_completed_run_usd,input_tokens,output_tokens,cached_input_tokens,gpu_kwh,reported_missing_token_calls,unaccounted_infrastructure_attempts
gpt-6-astra,Codex,Standard API,persistent,expected-unmasked,10,10,10,561.91214,56.191214,56.265852,54700184,824094,2921600,0,0,0
gpt-6-astra,Codex,Standard API,persistent,expected-masked,10,10,10,584.46629,58.446629,58.983123,56587141,872672,2782080,0,0,3
gpt-6-astra,Codex,Standard API,persistent,surprising-unmasked,10,10,10,556.80687,55.680687,55.25338,54088461,827514,2828160,0,1,1
gpt-6-astra,Codex,Standard API,persistent,surprising-masked,10,10,10,586.036492,58.6036492,59.191758,56698125,876557,2752512,0,0,6
gpt-6-astra,Codex,Standard API,sequential,expected-unmasked,10,9,9,290.299194,29.031178222222223,29.055788,27894065,754280,2928384,0,6,0
gpt-6-astra,Codex,Standard API,sequential,expected-masked,10,10,10,333.559842,33.3559842,33.541708,31827468,837213,2952832,0,0,2
gpt-6-astra,Codex,Standard API,sequential,surprising-unmasked,10,10,10,306.759724,30.6759724,29.499729000000002,29387909,800389,3015424,0,0,0
gpt-6-astra,Codex,Standard API,sequential,surprising-masked,10,10,10,304.697888,30.4697888,30.466651,29109146,794238,2900608,0,0,4
gpt-6-astra,Codex,Standard API,deliberative,expected-unmasked,10,10,10,878.30256,87.83025599999999,87.704359,82773098,2508110,8314880,0,4,1
gpt-6-astra,Codex,Standard API,deliberative,expected-masked,10,10,10,964.258482,96.4258482,97.04370399999999,90579389,2655464,8256512,0,0,12
gpt-6-astra,Codex,Standard API,deliberative,surprising-unmasked,10,10,10,869.870414,86.98704140000001,87.243015,81946438,2492081,8244224,0,0,1
gpt-6-astra,Codex,Standard API,deliberative,surprising-masked,10,10,10,887.184242,88.7184242,89.219658,83366438,2544819,8191232,0,0,15
gpt-5.6-sol,Codex,Standard API,persistent,expected-unmasked,10,10,10,236.613232,23.6613232,23.666572000000002,52986731,1765309,2955520,0,0,0
gpt-5.6-sol,Codex,Standard API,persistent,expected-masked,10,10,10,233.702168,23.3702168,23.2213684,52143521,1695201,2437760,0,0,6
gpt-5.6-sol,Codex,Standard API,persistent,surprising-unmasked,10,10,10,240.2495208,24.024952080000002,24.1475976,53419627,1824694,2756352,0,0,1
gpt-5.6-sol,Codex,Standard API,persistent,surprising-masked,10,10,10,231.9226552,23.19226552,23.221262,51785696,1690831,2510208,0,0,5
gpt-5.6-sol,Codex,Standard API,sequential,expected-unmasked,10,10,10,175.2205032,17.522050319999998,17.570047199999998,37683271,1746826,2902528,0,0,3
gpt-5.6-sol,Codex,Standard API,sequential,expected-masked,10,10,10,185.9403648,18.59403648,18.4461588,39652870,1823074,2536832,0,1,4
gpt-5.6-sol,Codex,Standard API,sequential,surprising-unmasked,10,10,10,180.7730504,18.07730504,18.1690648,38311988,1852653,2646656,0,0,1
gpt-5.6-sol,Codex,Standard API,sequential,surprising-masked,10,10,10,173.1836104,17.31836104,17.269648,37065066,1732703,2702976,0,0,4
gpt-5.6-sol,Codex,Standard API,deliberative,expected-unmasked,10,10,10,518.8399104,51.88399104,51.6809208,110090395,5413729,8276736,0,0,3
gpt-5.6-sol,Codex,Standard API,deliberative,expected-masked,10,10,10,515.620312,51.5620312,52.044988000000004,108932540,5342578,7489280,0,0,10
gpt-5.6-sol,Codex,Standard API,deliberative,surprising-unmasked,10,9,9,557.2168872,55.30252577777778,55.054883200000006,117577841,5971808,9036288,0,14,3
gpt-5.6-sol,Codex,Standard API,deliberative,surprising-masked,10,9,9,523.9913248,52.76626008888889,51.7743768,110213155,5472957,7311232,0,0,8
gpt-5.6-terra,Codex,Standard API,persistent,expected-unmasked,10,10,10,100.97679120000001,10.09767912,9.896210400000001,48895032,560703,1967616,0,1,0
gpt-5.6-terra,Codex,Standard API,persistent,expected-masked,10,10,10,104.1133316,10.41133316,10.460922,50205109,585764,1847808,0,0,0
