llm,harness,cost_basis,workflow,runs_attempted,runs_completed,completed_runs_with_cost,total_known_cost_usd,mean_cost_per_completed_run_usd,median_cost_per_completed_run_usd,input_tokens,output_tokens,cached_input_tokens,gpu_kwh,reported_missing_token_calls,unaccounted_infrastructure_attempts
gpt-6-astra,Codex,Standard API,persistent,40,40,40,2289.221792,57.2305448,56.967099,222073911,3400837,11284352,0,1,10
gpt-6-astra,Codex,Standard API,sequential,40,39,39,1235.316648,30.930719435897437,30.206682,118218588,3186120,11797248,0,6,6
gpt-6-astra,Codex,Standard API,deliberative,40,40,40,3599.615698,89.99039245,89.73557199999999,338665363,10200474,33006848,0,4,29
gpt-5.6-sol,Codex,Standard API,persistent,40,40,40,942.487576,23.5621894,23.4287736,210335575,6976035,10659840,0,0,12
gpt-5.6-sol,Codex,Standard API,sequential,40,40,40,715.1175288,17.87793822,17.7720576,152713195,7155256,10788992,0,1,12
gpt-5.6-sol,Codex,Standard API,deliberative,40,38,38,2115.6684344,52.81787618947369,52.646434400000004,446813931,22201072,32113536,0,14,24
gpt-5.6-terra,Codex,Standard API,persistent,40,40,40,407.5067808,10.18766952,10.041078800000001,196733484,2300442,7536384,0,1,2
gpt-5.6-terra,Codex,Standard API,sequential,40,39,39,182.0756972,4.531250246153846,4.485913200000001,83372575,2373712,7307776,0,1,2
gpt-5.6-terra,Codex,Standard API,deliberative,40,39,39,489.2799252,12.22569756923077,11.9667016,225426039,6505527,22021376,0,16,14
gpt-5.6-luna,Codex,Standard API,persistent,40,36,36,43.896956,1.0924797022222223,1.0918844,200653486,3192501,359680,0,20,7
gpt-5.6-luna,Codex,Standard API,sequential,40,39,39,24.962588120000003,0.6267073876923077,0.6283996,105688849,3234235,312576,0,35,6
gpt-5.6-luna,Codex,Standard API,deliberative,40,38,38,68.24233444000001,1.7066161294736844,1.71125244,284964143,9561481,1245952,0,22,16
claude-opus-5,Custom runner,Standard API,persistent,20,20,20,926.59677,46.3298385,46.33238,153093219,6445227,0,0,1,0
claude-opus-5,Custom runner,Standard API,sequential,20,19,19,752.1184,37.62229105263158,37.567725,119960060,6092724,0,0,0,0
claude-opus-5,Custom runner,Standard API,deliberative,20,18,18,2728.52986,136.99578833333334,136.635495,424178892,24305416,0,0,4,0
Inferact/Qwen3.8-27B-NVFP4,Biomni,GPU electricity,Biomni,40,34,34,10.686436933333333,0.2774925468137255,0.2788783833333333,402345684,3766769,0,71.2429128888889,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,persistent,40,38,38,6.688494058333333,0.16645422368421053,0.16692622499999998,213283489,8138441,0,44.58996038888889,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,sequential,40,40,40,3.9840059833333332,0.09960014958333333,0.096521425,84293066,11260076,0,26.56003988888889,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,deliberative,40,40,40,12.743959008333333,0.3185989752083333,0.305576125,277249087,34876391,0,84.95972672222223,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,persistent,40,37,37,7.037497233333333,0.17580000427927928,0.178182025,229644976,7778237,0,46.91664822222222,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,sequential,40,40,40,4.5989058,0.114972645,0.112919775,101374832,12387210,0,30.659372,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,deliberative,40,33,33,14.2148677,0.34411247424242425,0.3300888166666666,343550628,33756612,0,94.76578466666666,0,0
