metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,value,ci95_low,ci95_high,ci_method,ci_status,ci_valid_resamples
summary_score,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,84.35427974898153,83.74073030961276,84.94736400173359,joint whole-run bootstrap,available,10000
label_surprise_interaction,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,0,-39.24906495694757,39.24906495694757,Wilson-based MOVER,available,0
summary_score,gpt-6-astra,Codex,sequential,medium,40,39,1,80126,84.48643574915633,83.49959815712005,85.50466748256902,joint whole-run bootstrap,available,10000
label_surprise_interaction,gpt-6-astra,Codex,sequential,medium,40,39,1,80126,0,-39.24906495694757,39.24906495694757,Wilson-based MOVER,available,0
summary_score,gpt-6-astra,Codex,deliberative,medium,40,40,0,255276.0,85.20178454520676,84.86307894350445,85.51068608861735,joint whole-run bootstrap,available,10000
label_surprise_interaction,gpt-6-astra,Codex,deliberative,medium,40,40,0,255276.0,0,-39.24906495694757,39.24906495694757,Wilson-based MOVER,available,0
summary_score,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,80.91948933476694,77.91352197517435,82.82276681405928,joint whole-run bootstrap,available,10000
label_surprise_interaction,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,10,-30.099030708369355,51.17422662288616,Wilson-based MOVER,available,0
summary_score,gpt-5.6-sol,Codex,sequential,medium,40,40,0,176867.5,78.21923859949814,73.15861572676583,81.90487720457143,joint whole-run bootstrap,available,10000
label_surprise_interaction,gpt-5.6-sol,Codex,sequential,medium,40,40,0,176867.5,10,-33.59721315761196,52.39906430802721,Wilson-based MOVER,available,0
summary_score,gpt-5.6-sol,Codex,deliberative,medium,40,38,2,547345.5,71.17532250315331,64.39766813415203,76.96085178065667,joint whole-run bootstrap,available,10000
label_surprise_interaction,gpt-5.6-sol,Codex,deliberative,medium,40,38,2,547345.5,40,-10.554931672694764,78.89792028458469,Wilson-based MOVER,available,0
summary_score,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,77.45485649217014,73.15593927632946,80.87123644508333,joint whole-run bootstrap,available,9897
label_surprise_interaction,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,10,-37.112490327339366,52.71493645178945,Wilson-based MOVER,available,0
summary_score,gpt-5.6-terra,Codex,sequential,medium,40,39,1,58512,78.88878305396742,75.49475592228802,81.6903272954925,joint whole-run bootstrap,available,9992
label_surprise_interaction,gpt-5.6-terra,Codex,sequential,medium,40,39,1,58512,30,-13.702758137758885,71.10571089968272,Wilson-based MOVER,available,0
summary_score,gpt-5.6-terra,Codex,deliberative,medium,40,39,1,160931,70.73566129642572,65.55721186828757,75.28759199800061,joint whole-run bootstrap,available,9704
label_surprise_interaction,gpt-5.6-terra,Codex,deliberative,medium,40,39,1,160931,80,27.819993846381465,114.61091748088987,Wilson-based MOVER,available,0
summary_score,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,46.574609269475275,38.89321534754684,53.09972110434172,joint whole-run bootstrap,available,10000
label_surprise_interaction,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,10,-40.25683985147215,60.0626977696458,Wilson-based MOVER,available,0
summary_score,gpt-5.6-luna,Codex,sequential,medium,40,39,1,79146,38.89216959110668,33.86843948588614,43.82344433392779,joint whole-run bootstrap,available,9989
label_surprise_interaction,gpt-5.6-luna,Codex,sequential,medium,40,39,1,79146,-10,-53.22790067608579,39.21858311440261,Wilson-based MOVER,available,0
summary_score,gpt-5.6-luna,Codex,deliberative,medium,40,38,2,237172.5,39.83994012286267,34.361717427759416,45.15133975396534,joint whole-run bootstrap,available,9987
label_surprise_interaction,gpt-5.6-luna,Codex,deliberative,medium,40,38,2,237172.5,0,-44.30036895378885,47.48165221736735,Wilson-based MOVER,available,0
summary_score,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,79.80690696926986,78.45087164793264,81.06938598290029,joint whole-run bootstrap,available,9981
label_surprise_interaction,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,0,-61.44509943096562,61.44509943096562,Wilson-based MOVER,available,0
