metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,value,ci95_low,ci95_high,ci_method,ci_status,ci_valid_resamples
summary_score,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,84.35427974898153,83.74073030961276,84.94736400173359,joint whole-run bootstrap,available,10000
summary_score,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,80.91948933476694,77.91352197517435,82.82276681405928,joint whole-run bootstrap,available,10000
summary_score,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,77.45485649217014,73.15593927632946,80.87123644508333,joint whole-run bootstrap,available,9897
summary_score,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,46.574609269475275,38.89321534754684,53.09972110434172,joint whole-run bootstrap,available,10000
summary_score,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,79.80690696926986,78.45087164793264,81.06938598290029,joint whole-run bootstrap,available,9981
summary_score,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,76.10887912490017,71.72289761814534,78.66910713063527,joint whole-run bootstrap,available,9655
summary_score,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,72.25235792753023,,,joint whole-run bootstrap,insufficient eligible runs,6388
summary_score,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,70.63497705409694,66.87742797749115,74.01433145616073,joint whole-run bootstrap,available,9753
label_surprise_interaction,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,0,-39.24906495694757,39.24906495694757,Wilson-based MOVER,available,0
label_surprise_interaction,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,10,-30.099030708369355,51.17422662288616,Wilson-based MOVER,available,0
label_surprise_interaction,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,10,-37.112490327339366,52.71493645178945,Wilson-based MOVER,available,0
label_surprise_interaction,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,10,-40.25683985147215,60.0626977696458,Wilson-based MOVER,available,0
label_surprise_interaction,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,0,-61.44509943096562,61.44509943096562,Wilson-based MOVER,available,0
label_surprise_interaction,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,10,-30.099030708369355,51.17422662288616,Wilson-based MOVER,available,0
label_surprise_interaction,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,40,-4.173399396351897,83.8176434885041,Wilson-based MOVER,available,0
label_surprise_interaction,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,50,2.731394143132242,88.26325325497778,Wilson-based MOVER,available,0
