metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,expected-unmasked,expected-unmasked_ci95_low,expected-unmasked_ci95_high,expected-masked,expected-masked_ci95_low,expected-masked_ci95_high,surprising-unmasked,surprising-unmasked_ci95_low,surprising-unmasked_ci95_high,surprising-masked,surprising-masked_ci95_low,surprising-masked_ci95_high
Precision (%),gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,97.70092404778003,95.12576064908723,99.65517241379311,93.07143430654449,89.98777327000974,96.1798577183851,93.5046134844522,89.45582697987652,97.07494484280198,93.50993136718289,89.70138211414834,97.22818533543685
Precision (%),gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,95.69027032917973,94.58542088900339,96.7815076030412,96.04836412315672,94.42057250866634,97.72330100640968,91.40845621106246,87.06787462761362,95.33623969216389,93.15838886873146,87.85623590644981,96.99569927868696
Precision (%),gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,97.61752136752136,95.63034188034187,99.44444444444444,98.44267934623558,97.49640833556006,99.33491138059702,97.04940754005409,94.79253393665158,98.77717869209052,97.81922525107603,93.7015781922525,100.0
Precision (%),gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,59.45575559610647,36.918796755145436,78.49499185902695,91.89341799569965,81.9224256712488,98.22663984760759,72.24447450570278,64.08027070041871,80.15004531930043,85.23722190932132,73.6501572327044,95.79912935323382
Precision (%),claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,92.46915966416708,86.15247219290413,98.41224565093414,93.88487318209175,89.38541857483055,98.38432778935294,93.5116164597504,89.79631296120124,97.22691995829955,91.9311552494754,82.40215455066337,98.25121115443696
Precision (%),Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,97.6470588235294,92.94117647058825,100.0,97.41244646006551,93.46182917611489,100.0,95.5,89.0,100.0,99.5,98.5,100.0
Precision (%),Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,100.0,100.0,100.0,96.02564102564102,90.38461538461539,100.0,95.0,85.0,100.0,89.73809523809524,79.16666666666666,98.33928571428562
Precision (%),RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,99.23076923076923,97.6923076923077,100.0,100.0,100.0,100.0,82.4193780076133,68.87362637362637,93.83753501400561,99.33333333333333,98.0,100.0
Recall (%),gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,68.33333333333333,66.66666666666666,71.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,68.33333333333333,66.66666666666666,71.66666666666666
Recall (%),gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,63.33333333333332,56.66666666666665,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,61.66666666666666,51.66666666666665,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,51.11111111111111,37.77777777777777,63.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,59.99999999999999,51.666666666666664,64.99999999999999,61.66666666666666,53.33333333333333,66.66666666666666
Recall (%),gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,13.333333333333332,4.444444444444445,22.22222222222222,37.77777777777777,23.333333333333332,52.222222222222214,21.666666666666664,11.666666666666664,31.666666666666664,41.666666666666664,30.0,53.33333333333333
Recall (%),claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,63.33333333333332,56.66666666666665,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,56.66666666666666,41.666666666666664,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,59.99999999999999,49.99999999999999,66.66666666666666,58.88888888888888,47.777777777777764,66.66666666666666,59.99999999999999,49.99999999999999,66.66666666666666,58.33333333333333,49.999999999999986,66.66666666666666
