llm,harness,workflow,view,version,run_id,status,input_tokens,cached_input_tokens,output_tokens,gpu_hours,gpu_kwh,estimated_cost_usd,reported_missing_token_calls,unaccounted_infrastructure_attempts,cost_basis
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r001,completed,5376288,271488,82042,,,55.421588,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r002,completed,5678108,282240,95897,,,59.03577,0,1,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r003,completed,6045569,279552,90473,,,62.463372,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r004,completed,5696656,274176,88630,,,58.930476,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r005,completed,5846663,282240,87553,,,60.30412,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r006,completed,5981251,292992,90949,,,61.723032,0,2,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r007,completed,5850461,282240,93657,,,60.6473,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r008,completed,5406224,271488,85211,,,55.879398,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r009,completed,5559338,271488,80718,,,57.185888,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,expected,a561a12e2075ee78__persistent__astra_medium__r010,completed,5146583,274176,77542,,,52.875346,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r001,completed,5748697,276864,93326,,,59.661494,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r002,completed,5712663,271488,86954,,,59.030938,0,2,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r003,completed,5440997,274176,82609,,,56.072836,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r004,completed,5733997,271488,89120,,,59.352578,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r005,completed,5770556,276864,88373,,,59.632434,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r006,completed,5673966,271488,85904,,,58.591468,0,2,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r007,completed,5274147,268800,85936,,,54.61907,0,2,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r008,completed,5843515,284928,86023,,,60.171948,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r009,completed,5943017,282240,90842,,,61.43211,0,0,Standard API
gpt-6-astra,Codex,persistent,masked,surprising,1a87643398283251__persistent__astra_medium__r010,completed,5556570,274176,87470,,,57.471616,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r001,completed,5405847,263424,87102,,,56.042754,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r002,completed,5867276,292992,87333,,,60.402482,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r003,completed,5535241,271488,77265,,,56.772268,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r004,completed,5298908,268800,80852,,,54.61248,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r005,completed,5474575,329984,83816,,,55.966694,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r006,completed,5594258,329600,83715,,,57.16193,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r007,completed,5111979,311936,79951,,,52.309916,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r008,completed,5460125,268800,86138,,,56.48895,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r009,completed,5385317,268800,81173,,,55.49262,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,expected,0dfe6f786ad7dd9d__persistent__astra_medium__r010,completed,5566658,315776,76749,,,56.662046,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r001,completed,5704686,297728,88675,,,58.801058,1,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r002,completed,4929515,260736,81380,,,51.017526,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r003,completed,5775774,268800,85402,,,59.60864,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r004,completed,5271574,266112,76581,,,54.149782,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r005,completed,5335552,263424,81476,,,55.058504,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r006,completed,5360622,247296,81354,,,55.448256,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r007,completed,5771911,271488,88906,,,59.721018,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r008,completed,5232325,349696,78143,,,53.083136,0,0,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r009,completed,5276285,328704,82392,,,53.924114,0,1,Standard API
gpt-6-astra,Codex,persistent,unmasked,surprising,997d9404f1e89442__persistent__astra_medium__r010,completed,5430217,274176,83205,,,55.994836,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r001,completed,3433573,292992,90552,,,36.226402,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r002,completed,3232217,274176,83307,,,34.019936,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r003,completed,3420531,320384,87841,,,35.713904,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r004,completed,3200384,320384,84958,,,33.368284,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r005,completed,3199425,279552,84737,,,33.715132,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r006,completed,3276642,284928,83718,,,34.387968,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r007,completed,2916309,309504,76192,,,30.187154,0,2,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r008,completed,2982425,292992,84189,,,31.396772,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r009,completed,3107419,290304,80162,,,32.469554,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,expected,a561a12e2075ee78__sequential__astra_medium__r010,completed,3058543,287616,81557,,,32.074736,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r001,completed,3011724,279552,85780,,,31.890272,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r002,completed,2845884,279552,76770,,,29.781372,0,1,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r003,completed,2982721,302720,80984,,,31.15193,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r004,completed,2687473,276864,78271,,,28.296504,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r005,completed,2830494,287616,78444,,,29.638596,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r006,completed,3050761,284928,83366,,,32.111558,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r007,completed,3133004,279552,82352,,,32.931672,0,2,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r008,completed,2655810,331904,70078,,,27.074864,0,0,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r009,completed,2839777,282240,76383,,,29.67676,0,1,Standard API
gpt-6-astra,Codex,sequential,masked,surprising,1a87643398283251__sequential__astra_medium__r010,completed,3071498,295680,81810,,,32.14436,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r001,completed,2747053,284928,75860,,,28.699178,1,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r002,completed,2852640,313216,82617,,,29.838306,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r003,completed,2590325,279552,69302,,,26.852382,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r004,completed,2904316,299392,77161,,,30.206682,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r005,completed,2801243,303488,75495,,,29.055788,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r006,completed,2964167,258048,78357,,,31.237088,5,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r007,failed,2820044,316800,73387,,,29.01859,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r008,completed,2850999,310912,77472,,,29.585382,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r009,completed,2723865,276864,75085,,,28.501124,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,expected,0dfe6f786ad7dd9d__sequential__astra_medium__r010,completed,2639413,285184,69544,,,27.304674,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r001,completed,2763510,268800,80126,,,29.2222,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r002,completed,2985794,298368,80948,,,31.220028,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r003,completed,3605667,344448,92648,,,37.589038,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r004,completed,2836380,311680,76354,,,29.37638,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r005,completed,2765334,296448,70353,,,28.502958,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r006,completed,3056488,319104,85977,,,31.991794,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r007,completed,2815589,298368,77150,,,29.328078,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r008,completed,2826287,271488,76072,,,29.623078,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r009,completed,2761153,313728,79270,,,28.751478,0,0,Standard API
gpt-6-astra,Codex,sequential,unmasked,surprising,997d9404f1e89442__sequential__astra_medium__r010,completed,2971707,292992,81491,,,31.154692,0,0,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r001,completed,8962359,803712,272040,,,95.992182,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r002,completed,9394685,806400,267759,,,100.0772,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r003,completed,8675630,846080,255152,,,91.89918,0,0,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r004,completed,8555471,806400,259511,,,91.27266,0,0,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r005,completed,9165257,811776,276436,,,98.168386,0,3,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r006,completed,9230000,840064,271326,,,98.305724,0,3,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r007,completed,8983823,811776,271508,,,96.107646,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r008,completed,9024398,817152,262281,,,96.003662,0,0,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r009,completed,9318951,853120,258813,,,98.45208,0,2,Standard API
gpt-6-astra,Codex,deliberative,masked,expected,a561a12e2075ee78__deliberative__astra_medium__r010,completed,9268815,860032,260638,,,97.979762,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r001,completed,8302090,798336,255400,,,88.605876,0,2,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r002,completed,8445891,837120,263341,,,90.09188,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r003,completed,9483961,850176,272796,,,100.827826,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r004,completed,8585832,809856,267425,,,91.940866,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r005,completed,8214203,803712,259598,,,87.888522,0,3,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r006,completed,8666079,801024,268903,,,92.896724,0,2,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r007,completed,7791775,803712,236907,,,82.529692,0,1,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r008,completed,8261420,819840,249167,,,87.69399,0,0,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r009,completed,8449169,806400,251987,,,89.83344,0,2,Standard API
gpt-6-astra,Codex,deliberative,masked,surprising,1a87643398283251__deliberative__astra_medium__r010,completed,7166018,861056,219295,,,74.875426,0,2,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r001,completed,7865616,806400,240735,,,83.43531,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r002,completed,7990273,803712,248573,,,85.097972,0,0,Standard API
gpt-6-astra,Codex,deliberative,unmasked,expected,0dfe6f786ad7dd9d__deliberative__astra_medium__r003,completed,8007777,844160,256799,,,85.32028,0,0,Standard API
